"ANO","MÊS","VALOR","TYPE","LAT","LONG"
"1998","JANEIRO","0","Amazônia","0","0"
"1998","FEVEREIRO","0","Amazônia","0","0"
"1998","MARÇO","0","Amazônia","0","0"
"1998","ABRIL","0","Amazônia","0","0"
"1998","MAIO","0","Amazônia","0","0"
"1998","JUNHO","1549","Amazônia","0","0"
"1998","JULHO","3192","Amazônia","0","0"
"1998","AGOSTO","20075","Amazônia","0","0"
"1998","SETEMBRO","19214","Amazônia","0","0"
"1998","OUTUBRO","8777","Amazônia","0","0"
"1998","NOVEMBRO","3833","Amazônia","0","0"
"1998","DEZEMBRO","2547","Amazônia","0","0"
"1999","JANEIRO","160","Amazônia","0","0"
"1999","FEVEREIRO","358","Amazônia","0","0"
"1999","MARÇO","130","Amazônia","0","0"
"1999","ABRIL","70","Amazônia","0","0"
"1999","MAIO","449","Amazônia","0","0"
"1999","JUNHO","1439","Amazônia","0","0"
"1999","JULHO","3675","Amazônia","0","0"
"1999","AGOSTO","21525","Amazônia","0","0"
"1999","SETEMBRO","16106","Amazônia","0","0"
"1999","OUTUBRO","12794","Amazônia","0","0"
"1999","NOVEMBRO","4449","Amazônia","0","0"
"1999","DEZEMBRO","1703","Amazônia","0","0"
"2000","JANEIRO","87","Amazônia","0","0"
"2000","FEVEREIRO","182","Amazônia","0","0"
"2000","MARÇO","405","Amazônia","0","0"
"2000","ABRIL","92","Amazônia","0","0"
"2000","MAIO","930","Amazônia","0","0"
"2000","JUNHO","3211","Amazônia","0","0"
"2000","JULHO","1510","Amazônia","0","0"
"2000","AGOSTO","12791","Amazônia","0","0"
"2000","SETEMBRO","10062","Amazônia","0","0"
"2000","OUTUBRO","10226","Amazônia","0","0"
"2000","NOVEMBRO","5497","Amazônia","0","0"
"2000","DEZEMBRO","3175","Amazônia","0","0"
"2001","JANEIRO","165","Amazônia","0","0"
"2001","FEVEREIRO","699","Amazônia","0","0"
"2001","MARÇO","1134","Amazônia","0","0"
"2001","ABRIL","617","Amazônia","0","0"
"2001","MAIO","916","Amazônia","0","0"
"2001","JUNHO","4227","Amazônia","0","0"
"2001","JULHO","1816","Amazônia","0","0"
"2001","AGOSTO","17679","Amazônia","0","0"
"2001","SETEMBRO","15528","Amazônia","0","0"
"2001","OUTUBRO","14292","Amazônia","0","0"
"2001","NOVEMBRO","8346","Amazônia","0","0"
"2001","DEZEMBRO","4256","Amazônia","0","0"
"2002","JANEIRO","590","Amazônia","0","0"
"2002","FEVEREIRO","667","Amazônia","0","0"
"2002","MARÇO","901","Amazônia","0","0"
"2002","ABRIL","405","Amazônia","0","0"
"2002","MAIO","1490","Amazônia","0","0"
"2002","JUNHO","5702","Amazônia","0","0"
"2002","JULHO","7529","Amazônia","0","0"
"2002","AGOSTO","43484","Amazônia","0","0"
"2002","SETEMBRO","48549","Amazônia","0","0"
"2002","OUTUBRO","27110","Amazônia","0","0"
"2002","NOVEMBRO","23660","Amazônia","0","0"
"2002","DEZEMBRO","9174","Amazônia","0","0"
"2003","JANEIRO","3704","Amazônia","0","0"
"2003","FEVEREIRO","1573","Amazônia","0","0"
"2003","MARÇO","1997","Amazônia","0","0"
"2003","ABRIL","1038","Amazônia","0","0"
"2003","MAIO","1983","Amazônia","0","0"
"2003","JUNHO","6848","Amazônia","0","0"
"2003","JULHO","15918","Amazônia","0","0"
"2003","AGOSTO","34765","Amazônia","0","0"
"2003","SETEMBRO","47789","Amazônia","0","0"
"2003","OUTUBRO","25341","Amazônia","0","0"
"2003","NOVEMBRO","19631","Amazônia","0","0"
"2003","DEZEMBRO","13813","Amazônia","0","0"
"2004","JANEIRO","2178","Amazônia","0","0"
"2004","FEVEREIRO","805","Amazônia","0","0"
"2004","MARÇO","1035","Amazônia","0","0"
"2004","ABRIL","1012","Amazônia","0","0"
"2004","MAIO","3131","Amazônia","0","0"
"2004","JUNHO","9179","Amazônia","0","0"
"2004","JULHO","19179","Amazônia","0","0"
"2004","AGOSTO","43320","Amazônia","0","0"
"2004","SETEMBRO","71522","Amazônia","0","0"
"2004","OUTUBRO","23928","Amazônia","0","0"
"2004","NOVEMBRO","26424","Amazônia","0","0"
"2004","DEZEMBRO","16924","Amazônia","0","0"
"2005","JANEIRO","4314","Amazônia","0","0"
"2005","FEVEREIRO","1048","Amazônia","0","0"
"2005","MARÇO","758","Amazônia","0","0"
"2005","ABRIL","832","Amazônia","0","0"
"2005","MAIO","1746","Amazônia","0","0"
"2005","JUNHO","2954","Amazônia","0","0"
"2005","JULHO","19364","Amazônia","0","0"
"2005","AGOSTO","63764","Amazônia","0","0"
"2005","SETEMBRO","68560","Amazônia","0","0"
"2005","OUTUBRO","26624","Amazônia","0","0"
"2005","NOVEMBRO","16790","Amazônia","0","0"
"2005","DEZEMBRO","6966","Amazônia","0","0"
"2006","JANEIRO","1973","Amazônia","0","0"
"2006","FEVEREIRO","879","Amazônia","0","0"
"2006","MARÇO","903","Amazônia","0","0"
"2006","ABRIL","709","Amazônia","0","0"
"2006","MAIO","843","Amazônia","0","0"
"2006","JUNHO","2522","Amazônia","0","0"
"2006","JULHO","6995","Amazônia","0","0"
"2006","AGOSTO","34208","Amazônia","0","0"
"2006","SETEMBRO","51028","Amazônia","0","0"
"2006","OUTUBRO","18309","Amazônia","0","0"
"2006","NOVEMBRO","17474","Amazônia","0","0"
"2006","DEZEMBRO","8579","Amazônia","0","0"
"2007","JANEIRO","1918","Amazônia","0","0"
"2007","FEVEREIRO","1761","Amazônia","0","0"
"2007","MARÇO","1431","Amazônia","0","0"
"2007","ABRIL","760","Amazônia","0","0"
"2007","MAIO","1176","Amazônia","0","0"
"2007","JUNHO","3519","Amazônia","0","0"
"2007","JULHO","6196","Amazônia","0","0"
"2007","AGOSTO","46385","Amazônia","0","0"
"2007","SETEMBRO","73141","Amazônia","0","0"
"2007","OUTUBRO","28731","Amazônia","0","0"
"2007","NOVEMBRO","16025","Amazônia","0","0"
"2007","DEZEMBRO","5437","Amazônia","0","0"
"2008","JANEIRO","938","Amazônia","0","0"
"2008","FEVEREIRO","527","Amazônia","0","0"
"2008","MARÇO","860","Amazônia","0","0"
"2008","ABRIL","569","Amazônia","0","0"
"2008","MAIO","383","Amazônia","0","0"
"2008","JUNHO","1248","Amazônia","0","0"
"2008","JULHO","5901","Amazônia","0","0"
"2008","AGOSTO","21445","Amazônia","0","0"
"2008","SETEMBRO","26469","Amazônia","0","0"
"2008","OUTUBRO","23518","Amazônia","0","0"
"2008","NOVEMBRO","15450","Amazônia","0","0"
"2008","DEZEMBRO","6145","Amazônia","0","0"
"2009","JANEIRO","1095","Amazônia","0","0"
"2009","FEVEREIRO","354","Amazônia","0","0"
"2009","MARÇO","584","Amazônia","0","0"
"2009","ABRIL","435","Amazônia","0","0"
"2009","MAIO","673","Amazônia","0","0"
"2009","JUNHO","1023","Amazônia","0","0"
"2009","JULHO","2327","Amazônia","0","0"
"2009","AGOSTO","9732","Amazônia","0","0"
"2009","SETEMBRO","20527","Amazônia","0","0"
"2009","OUTUBRO","19323","Amazônia","0","0"
"2009","NOVEMBRO","19104","Amazônia","0","0"
"2009","DEZEMBRO","6505","Amazônia","0","0"
"2010","JANEIRO","1697","Amazônia","0","0"
"2010","FEVEREIRO","1147","Amazônia","0","0"
"2010","MARÇO","1176","Amazônia","0","0"
"2010","ABRIL","633","Amazônia","0","0"
"2010","MAIO","1026","Amazônia","0","0"
"2010","JUNHO","1911","Amazônia","0","0"
"2010","JULHO","5868","Amazônia","0","0"
"2010","AGOSTO","45018","Amazônia","0","0"
"2010","SETEMBRO","43933","Amazônia","0","0"
"2010","OUTUBRO","14798","Amazônia","0","0"
"2010","NOVEMBRO","12167","Amazônia","0","0"
"2010","DEZEMBRO","5240","Amazônia","0","0"
"2011","JANEIRO","771","Amazônia","0","0"
"2011","FEVEREIRO","271","Amazônia","0","0"
"2011","MARÇO","427","Amazônia","0","0"
"2011","ABRIL","465","Amazônia","0","0"
"2011","MAIO","528","Amazônia","0","0"
"2011","JUNHO","1083","Amazônia","0","0"
"2011","JULHO","2445","Amazônia","0","0"
"2011","AGOSTO","8002","Amazônia","0","0"
"2011","SETEMBRO","16987","Amazônia","0","0"
"2011","OUTUBRO","9760","Amazônia","0","0"
"2011","NOVEMBRO","9815","Amazônia","0","0"
"2011","DEZEMBRO","7632","Amazônia","0","0"
"2012","JANEIRO","1203","Amazônia","0","0"
"2012","FEVEREIRO","438","Amazônia","0","0"
"2012","MARÇO","484","Amazônia","0","0"
"2012","ABRIL","473","Amazônia","0","0"
"2012","MAIO","855","Amazônia","0","0"
"2012","JUNHO","1875","Amazônia","0","0"
"2012","JULHO","3095","Amazônia","0","0"
"2012","AGOSTO","20687","Amazônia","0","0"
"2012","SETEMBRO","24067","Amazônia","0","0"
"2012","OUTUBRO","14814","Amazônia","0","0"
"2012","NOVEMBRO","13259","Amazônia","0","0"
"2012","DEZEMBRO","5469","Amazônia","0","0"
"2013","JANEIRO","1181","Amazônia","0","0"
"2013","FEVEREIRO","374","Amazônia","0","0"
"2013","MARÇO","738","Amazônia","0","0"
"2013","ABRIL","518","Amazônia","0","0"
"2013","MAIO","796","Amazônia","0","0"
"2013","JUNHO","1450","Amazônia","0","0"
"2013","JULHO","2531","Amazônia","0","0"
"2013","AGOSTO","9444","Amazônia","0","0"
"2013","SETEMBRO","16786","Amazônia","0","0"
"2013","OUTUBRO","10242","Amazônia","0","0"
"2013","NOVEMBRO","6615","Amazônia","0","0"
"2013","DEZEMBRO","8013","Amazônia","0","0"
"2014","JANEIRO","1573","Amazônia","0","0"
"2014","FEVEREIRO","473","Amazônia","0","0"
"2014","MARÇO","1010","Amazônia","0","0"
"2014","ABRIL","632","Amazônia","0","0"
"2014","MAIO","673","Amazônia","0","0"
"2014","JUNHO","1628","Amazônia","0","0"
"2014","JULHO","2766","Amazônia","0","0"
"2014","AGOSTO","20113","Amazônia","0","0"
"2014","SETEMBRO","20522","Amazônia","0","0"
"2014","OUTUBRO","13222","Amazônia","0","0"
"2014","NOVEMBRO","12169","Amazônia","0","0"
"2014","DEZEMBRO","7773","Amazônia","0","0"
"2015","JANEIRO","2042","Amazônia","0","0"
"2015","FEVEREIRO","1047","Amazônia","0","0"
"2015","MARÇO","572","Amazônia","0","0"
"2015","ABRIL","762","Amazônia","0","0"
"2015","MAIO","407","Amazônia","0","0"
"2015","JUNHO","1287","Amazônia","0","0"
"2015","JULHO","2817","Amazônia","0","0"
"2015","AGOSTO","20471","Amazônia","0","0"
"2015","SETEMBRO","29326","Amazônia","0","0"
"2015","OUTUBRO","19469","Amazônia","0","0"
"2015","NOVEMBRO","16935","Amazônia","0","0"
"2015","DEZEMBRO","11303","Amazônia","0","0"
"2016","JANEIRO","4657","Amazônia","0","0"
"2016","FEVEREIRO","1559","Amazônia","0","0"
"2016","MARÇO","2024","Amazônia","0","0"
"2016","ABRIL","1075","Amazônia","0","0"
"2016","MAIO","895","Amazônia","0","0"
"2016","JUNHO","1663","Amazônia","0","0"
"2016","JULHO","6120","Amazônia","0","0"
"2016","AGOSTO","18340","Amazônia","0","0"
"2016","SETEMBRO","20460","Amazônia","0","0"
"2016","OUTUBRO","14234","Amazônia","0","0"
"2016","NOVEMBRO","11610","Amazônia","0","0"
"2016","DEZEMBRO","5124","Amazônia","0","0"
"2017","JANEIRO","796","Amazônia","0","0"
"2017","FEVEREIRO","379","Amazônia","0","0"
"2017","MARÇO","736","Amazônia","0","0"
"2017","ABRIL","618","Amazônia","0","0"
"2017","MAIO","805","Amazônia","0","0"
"2017","JUNHO","1759","Amazônia","0","0"
"2017","JULHO","7986","Amazônia","0","0"
"2017","AGOSTO","21244","Amazônia","0","0"
"2017","SETEMBRO","36569","Amazônia","0","0"
"2017","OUTUBRO","14457","Amazônia","0","0"
"2017","NOVEMBRO","14105","Amazônia","0","0"
"2017","DEZEMBRO","7985","Amazônia","0","0"
"2018","JANEIRO","1444","Amazônia","0","0"
"2018","FEVEREIRO","888","Amazônia","0","0"
"2018","MARÇO","1359","Amazônia","0","0"
"2018","ABRIL","513","Amazônia","0","0"
"2018","MAIO","772","Amazônia","0","0"
"2018","JUNHO","1980","Amazônia","0","0"
"2018","JULHO","4788","Amazônia","0","0"
"2018","AGOSTO","10421","Amazônia","0","0"
"2018","SETEMBRO","24803","Amazônia","0","0"
"2018","OUTUBRO","10654","Amazônia","0","0"
"2018","NOVEMBRO","8881","Amazônia","0","0"
"2018","DEZEMBRO","1842","Amazônia","0","0"
"2019","JANEIRO","1419","Amazônia","0","0"
"2019","FEVEREIRO","1368","Amazônia","0","0"
"2019","MARÇO","3383","Amazônia","0","0"
"2019","ABRIL","1702","Amazônia","0","0"
"2019","MAIO","854","Amazônia","0","0"
"2019","JUNHO","1880","Amazônia","0","0"
"2019","JULHO","5318","Amazônia","0","0"
"2019","AGOSTO","30900","Amazônia","0","0"
"2019","SETEMBRO","19925","Amazônia","0","0"
"2019","OUTUBRO","7855","Amazônia","0","0"
"2019","NOVEMBRO","11297","Amazônia","0","0"
"2019","DEZEMBRO","3275","Amazônia","0","0"
"2020","JANEIRO","1200","Amazônia","0","0"
"2020","FEVEREIRO","1196","Amazônia","0","0"
"2020","MARÇO","1641","Amazônia","0","0"
"2020","ABRIL","789","Amazônia","0","0"
"2020","MAIO","829","Amazônia","0","0"
"2020","JUNHO","2248","Amazônia","0","0"
"2020","JULHO","6803","Amazônia","0","0"
"2020","AGOSTO","29307","Amazônia","0","0"
"2020","SETEMBRO","24473","Amazônia","0","0"
"2020","OUTUBRO","0","Amazônia","0","0"
"2020","NOVEMBRO","0","Amazônia","0","0"
"2020","DEZEMBRO","0","Amazônia","0","0"
"1998","JANEIRO","0","Pampa","0","0"
"1998","FEVEREIRO","0","Pampa","0","0"
"1998","MARÇO","0","Pampa","0","0"
"1998","ABRIL","0","Pampa","0","0"
"1998","MAIO","0","Pampa","0","0"
"1998","JUNHO","0","Pampa","0","0"
"1998","JULHO","0","Pampa","0","0"
"1998","AGOSTO","9","Pampa","0","0"
"1998","SETEMBRO","31","Pampa","0","0"
"1998","OUTUBRO","109","Pampa","0","0"
"1998","NOVEMBRO","5","Pampa","0","0"
"1998","DEZEMBRO","62","Pampa","0","0"
"1999","JANEIRO","46","Pampa","0","0"
"1999","FEVEREIRO","19","Pampa","0","0"
"1999","MARÇO","35","Pampa","0","0"
"1999","ABRIL","10","Pampa","0","0"
"1999","MAIO","8","Pampa","0","0"
"1999","JUNHO","6","Pampa","0","0"
"1999","JULHO","7","Pampa","0","0"
"1999","AGOSTO","7","Pampa","0","0"
"1999","SETEMBRO","8","Pampa","0","0"
"1999","OUTUBRO","51","Pampa","0","0"
"1999","NOVEMBRO","31","Pampa","0","0"
"1999","DEZEMBRO","1053","Pampa","0","0"
"2000","JANEIRO","74","Pampa","0","0"
"2000","FEVEREIRO","33","Pampa","0","0"
"2000","MARÇO","10","Pampa","0","0"
"2000","ABRIL","1","Pampa","0","0"
"2000","MAIO","3","Pampa","0","0"
"2000","JUNHO","0","Pampa","0","0"
"2000","JULHO","4","Pampa","0","0"
"2000","AGOSTO","10","Pampa","0","0"
"2000","SETEMBRO","7","Pampa","0","0"
"2000","OUTUBRO","5","Pampa","0","0"
"2000","NOVEMBRO","4","Pampa","0","0"
"2000","DEZEMBRO","60","Pampa","0","0"
"2001","JANEIRO","7","Pampa","0","0"
"2001","FEVEREIRO","32","Pampa","0","0"
"2001","MARÇO","8","Pampa","0","0"
"2001","ABRIL","2","Pampa","0","0"
"2001","MAIO","4","Pampa","0","0"
"2001","JUNHO","1","Pampa","0","0"
"2001","JULHO","6","Pampa","0","0"
"2001","AGOSTO","24","Pampa","0","0"
"2001","SETEMBRO","0","Pampa","0","0"
"2001","OUTUBRO","12","Pampa","0","0"
"2001","NOVEMBRO","23","Pampa","0","0"
"2001","DEZEMBRO","35","Pampa","0","0"
"2002","JANEIRO","213","Pampa","0","0"
"2002","FEVEREIRO","30","Pampa","0","0"
"2002","MARÇO","19","Pampa","0","0"
"2002","ABRIL","2","Pampa","0","0"
"2002","MAIO","4","Pampa","0","0"
"2002","JUNHO","2","Pampa","0","0"
"2002","JULHO","178","Pampa","0","0"
"2002","AGOSTO","379","Pampa","0","0"
"2002","SETEMBRO","238","Pampa","0","0"
"2002","OUTUBRO","18","Pampa","0","0"
"2002","NOVEMBRO","18","Pampa","0","0"
"2002","DEZEMBRO","20","Pampa","0","0"
"2003","JANEIRO","41","Pampa","0","0"
"2003","FEVEREIRO","8","Pampa","0","0"
"2003","MARÇO","19","Pampa","0","0"
"2003","ABRIL","63","Pampa","0","0"
"2003","MAIO","79","Pampa","0","0"
"2003","JUNHO","47","Pampa","0","0"
"2003","JULHO","252","Pampa","0","0"
"2003","AGOSTO","736","Pampa","0","0"
"2003","SETEMBRO","357","Pampa","0","0"
"2003","OUTUBRO","121","Pampa","0","0"
"2003","NOVEMBRO","51","Pampa","0","0"
"2003","DEZEMBRO","24","Pampa","0","0"
"2004","JANEIRO","38","Pampa","0","0"
"2004","FEVEREIRO","62","Pampa","0","0"
"2004","MARÇO","163","Pampa","0","0"
"2004","ABRIL","121","Pampa","0","0"
"2004","MAIO","55","Pampa","0","0"
"2004","JUNHO","140","Pampa","0","0"
"2004","JULHO","232","Pampa","0","0"
"2004","AGOSTO","356","Pampa","0","0"
"2004","SETEMBRO","157","Pampa","0","0"
"2004","OUTUBRO","252","Pampa","0","0"
"2004","NOVEMBRO","49","Pampa","0","0"
"2004","DEZEMBRO","52","Pampa","0","0"
"2005","JANEIRO","102","Pampa","0","0"
"2005","FEVEREIRO","32","Pampa","0","0"
"2005","MARÇO","131","Pampa","0","0"
"2005","ABRIL","61","Pampa","0","0"
"2005","MAIO","74","Pampa","0","0"
"2005","JUNHO","63","Pampa","0","0"
"2005","JULHO","153","Pampa","0","0"
"2005","AGOSTO","241","Pampa","0","0"
"2005","SETEMBRO","122","Pampa","0","0"
"2005","OUTUBRO","46","Pampa","0","0"
"2005","NOVEMBRO","67","Pampa","0","0"
"2005","DEZEMBRO","46","Pampa","0","0"
"2006","JANEIRO","29","Pampa","0","0"
"2006","FEVEREIRO","35","Pampa","0","0"
"2006","MARÇO","82","Pampa","0","0"
"2006","ABRIL","111","Pampa","0","0"
"2006","MAIO","175","Pampa","0","0"
"2006","JUNHO","78","Pampa","0","0"
"2006","JULHO","188","Pampa","0","0"
"2006","AGOSTO","321","Pampa","0","0"
"2006","SETEMBRO","187","Pampa","0","0"
"2006","OUTUBRO","62","Pampa","0","0"
"2006","NOVEMBRO","42","Pampa","0","0"
"2006","DEZEMBRO","26","Pampa","0","0"
"2007","JANEIRO","18","Pampa","0","0"
"2007","FEVEREIRO","17","Pampa","0","0"
"2007","MARÇO","22","Pampa","0","0"
"2007","ABRIL","60","Pampa","0","0"
"2007","MAIO","63","Pampa","0","0"
"2007","JUNHO","111","Pampa","0","0"
"2007","JULHO","201","Pampa","0","0"
"2007","AGOSTO","231","Pampa","0","0"
"2007","SETEMBRO","192","Pampa","0","0"
"2007","OUTUBRO","42","Pampa","0","0"
"2007","NOVEMBRO","46","Pampa","0","0"
"2007","DEZEMBRO","42","Pampa","0","0"
"2008","JANEIRO","41","Pampa","0","0"
"2008","FEVEREIRO","28","Pampa","0","0"
"2008","MARÇO","43","Pampa","0","0"
"2008","ABRIL","135","Pampa","0","0"
"2008","MAIO","127","Pampa","0","0"
"2008","JUNHO","84","Pampa","0","0"
"2008","JULHO","129","Pampa","0","0"
"2008","AGOSTO","113","Pampa","0","0"
"2008","SETEMBRO","83","Pampa","0","0"
"2008","OUTUBRO","78","Pampa","0","0"
"2008","NOVEMBRO","35","Pampa","0","0"
"2008","DEZEMBRO","52","Pampa","0","0"
"2009","JANEIRO","52","Pampa","0","0"
"2009","FEVEREIRO","18","Pampa","0","0"
"2009","MARÇO","42","Pampa","0","0"
"2009","ABRIL","168","Pampa","0","0"
"2009","MAIO","174","Pampa","0","0"
"2009","JUNHO","83","Pampa","0","0"
"2009","JULHO","129","Pampa","0","0"
"2009","AGOSTO","373","Pampa","0","0"
"2009","SETEMBRO","34","Pampa","0","0"
"2009","OUTUBRO","71","Pampa","0","0"
"2009","NOVEMBRO","2","Pampa","0","0"
"2009","DEZEMBRO","6","Pampa","0","0"
"2010","JANEIRO","33","Pampa","0","0"
"2010","FEVEREIRO","17","Pampa","0","0"
"2010","MARÇO","34","Pampa","0","0"
"2010","ABRIL","67","Pampa","0","0"
"2010","MAIO","23","Pampa","0","0"
